FlightDate,airport,ArrDelay,DepDelay,Cancelled,Diverted,period
2000-01-30,MIA,-6.0,9.0,False,False,other
2000-01-31,MIA,57.0,74.0,False,False,other
2000-01-01,MIA,-2.0,0.0,False,False,other
2000-01-02,MIA,-4.0,15.0,False,False,other
2000-01-03,MIA,-21.0,0.0,False,False,other
2000-01-04,MIA,4.0,22.0,False,False,other
2000-01-05,MIA,7.0,14.0,False,False,other
2000-01-06,MIA,11.0,15.0,False,False,other
2000-01-07,MIA,-1.0,-8.0,False,False,other
2000-01-08,MIA,-14.0,-4.0,False,False,other
2000-01-09,MIA,-9.0,-5.0,False,False,other
2000-01-10,MIA,4.0,22.0,False,False,other
2000-01-11,MIA,-22.0,-6.0,False,False,other
2000-01-12,MIA,-9.0,-1.0,False,False,other
2000-01-13,MIA,51.0,50.0,False,False,other
2000-01-14,MIA,24.0,9.0,False,False,other
2000-01-15,MIA,3.0,2.0,False,False,other
2000-01-16,MIA,11.0,5.0,False,False,other
2000-01-17,MIA,32.0,-5.0,False,False,other
2000-01-18,MIA,14.0,7.0,False,False,other
2000-01-19,MIA,-6.0,-4.0,False,False,other
2000-01-20,MIA,56.0,38.0,False,False,other
2000-01-21,MIA,0.0,1.0,False,False,other
2000-01-22,MIA,-1.0,-1.0,False,False,other
2000-01-23,MIA,-19.0,-2.0,False,False,other
2000-01-24,MIA,-12.0,16.0,False,False,other
2000-01-25,MIA,-5.0,3.0,False,False,other
2000-01-26,MIA,34.0,29.0,False,False,other
2000-01-27,MIA,77.0,65.0,False,False,other
2000-01-28,MIA,3.0,9.0,False,False,other
2000-01-29,MIA,-3.0,-5.0,False,False,other
2000-01-30,MIA,-7.0,7.0,False,False,other
2000-01-31,MIA,35.0,39.0,False,False,other
2000-01-01,MIA,-10.0,-5.0,False,False,other
2000-01-08,MIA,-19.0,-4.0,False,False,other
2000-01-15,MIA,-3.0,-7.0,False,False,other
2000-01-22,MIA,-14.0,-7.0,False,False,other
2000-01-29,MIA,-6.0,-6.0,False,False,other
2000-01-01,MCO,10.0,-3.0,False,False,other
2000-01-02,MCO,0.0,-3.0,False,False,other
2000-01-03,MCO,-6.0,5.0,False,False,other
2000-01-04,MCO,-14.0,-4.0,False,False,other
2000-01-05,MCO,-12.0,-3.0,False,False,other
2000-01-06,MCO,-14.0,-3.0,False,False,other
2000-01-07,MCO,-18.0,-1.0,False,False,other
2000-01-08,MCO,-10.0,-4.0,False,False,other
2000-01-09,MCO,-12.0,-5.0,False,False,other
2000-01-10,MCO,-1.0,-7.0,False,False,other
2000-01-11,MCO,-15.0,-2.0,False,False,other
2000-01-12,MCO,-6.0,-2.0,False,False,other
2000-01-13,MCO,37.0,12.0,False,False,other
2000-01-14,MCO,2.0,-3.0,False,False,other
2000-01-15,MCO,9.0,-6.0,False,False,other
2000-01-16,MCO,9.0,-4.0,False,False,other
2000-01-17,MCO,20.0,-1.0,False,False,other
2000-01-18,MCO,-6.0,-6.0,False,False,other
2000-01-19,MCO,7.0,8.0,False,False,other
2000-01-20,MCO,22.0,18.0,False,False,other
2000-01-21,MCO,5.0,12.0,False,False,other
2000-01-22,MCO,-7.0,-6.0,False,False,other
2000-01-23,MCO,67.0,77.0,False,False,other
2000-01-24,MCO,-11.0,8.0,False,False,other
2000-01-25,MCO,44.0,-2.0,False,False,other
2000-01-26,MCO,-6.0,-2.0,False,False,other
2000-01-27,MCO,-7.0,-2.0,False,False,other
2000-01-28,MCO,-10.0,0.0,False,False,other
2000-01-29,MCO,-4.0,-3.0,False,False,other
2000-01-30,MCO,5.0,7.0,False,False,other
2000-01-31,MCO,-1.0,19.0,False,False,other
2000-01-01,MCO,-2.0,-3.0,False,False,other
2000-01-02,MCO,-13.0,-2.0,False,False,other
2000-01-03,MCO,-16.0,-2.0,False,False,other
2000-01-04,MCO,-12.0,8.0,False,False,other
2000-01-05,MCO,-15.0,-4.0,False,False,other
2000-01-06,MCO,-15.0,-5.0,False,False,other
2000-01-07,MCO,-17.0,-1.0,False,False,other
2000-01-08,MCO,1.0,5.0,False,False,other
2000-01-09,MCO,-18.0,-4.0,False,False,other
2000-01-10,MCO,-19.0,1.0,False,False,other
2000-01-11,MCO,-7.0,-4.0,False,False,other
2000-01-12,MCO,-4.0,-4.0,False,False,other
2000-01-13,MCO,,,True,False,other
2000-01-14,MCO,0.0,-4.0,False,False,other
2000-01-15,MCO,-1.0,-5.0,False,False,other
2000-01-16,MCO,8.0,-1.0,False,False,other
2000-01-17,MCO,19.0,10.0,False,False,other
2000-01-18,MCO,-4.0,-3.0,False,False,other
2000-01-19,MCO,-6.0,-2.0,False,False,other
2000-01-20,MCO,,,True,False,other
2000-01-21,MCO,6.0,0.0,False,False,other
2000-01-22,MCO,-10.0,-3.0,False,False,other
2000-01-23,MCO,13.0,14.0,False,False,other
2000-01-24,MCO,-20.0,-3.0,False,False,other
2000-01-25,MCO,,,True,False,other
2000-01-26,MCO,5.0,5.0,False,False,other
2000-01-27,MCO,2.0,7.0,False,False,other
2000-01-28,MCO,0.0,8.0,False,False,other
2000-01-29,MCO,79.0,96.0,False,False,other
2000-01-30,MCO,-19.0,-5.0,False,False,other
2000-01-31,MCO,-17.0,-5.0,False,False,other
2000-01-01,MCO,99.0,100.0,False,False,other
2000-01-08,MCO,22.0,19.0,False,False,other
2000-01-15,MCO,10.0,-4.0,False,False,other
2000-01-22,MCO,6.0,14.0,False,False,other
2000-01-29,MCO,0.0,-2.0,False,False,other
2000-01-01,MCO,5.0,0.0,False,False,other
2000-01-08,MCO,-11.0,0.0,False,False,other
2000-01-15,MCO,0.0,0.0,False,False,other
2000-01-22,MCO,-4.0,0.0,False,False,other
2000-01-29,MCO,0.0,0.0,False,False,other
2000-01-02,MCO,-2.0,0.0,False,False,other
2000-01-03,MCO,-5.0,0.0,False,False,other
2000-01-04,MCO,0.0,0.0,False,False,other
2000-01-05,MCO,-1.0,5.0,False,False,other
2000-01-06,MCO,-14.0,0.0,False,False,other
2000-01-07,MCO,-8.0,0.0,False,False,other
2000-01-08,MCO,2.0,0.0,False,False,other
2000-01-09,MCO,-6.0,0.0,False,False,other
2000-01-10,MCO,-8.0,10.0,False,False,other
2000-01-11,MCO,-17.0,0.0,False,False,other
2000-01-12,MCO,-5.0,0.0,False,False,other
2000-01-13,MCO,-12.0,0.0,False,False,other
2000-01-14,MCO,-2.0,0.0,False,False,other
